"No.","Time","Source","Destination","Protocol","Length","Info"
"2131","4.616609539","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"2132","4.616620411","10.76.105.1","10.244.105.1","MAVLink 2.0","139","HIGHRES_IMU"
"2133","4.616750581","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=189 Ack=101205 Win=9617 Len=0 TSval=2474327614 TSecr=519151157"
"2134","4.625440075","10.76.105.1","10.244.105.1","MAVLink 2.0","102","SCALED_IMU"
"2135","4.643805203","10.76.105.1","10.244.105.1","MAVLink 2.0","310","ODOMETRY"
"2136","4.643828085","10.76.105.1","10.244.105.1","MAVLink 2.0","118","ACTUATOR_CONTROL_TARGET"
"2137","4.643835791","10.76.105.1","10.244.105.1","MAVLink 2.0","87","HEARTBEAT"
"2138","4.643842242","10.76.105.1","10.244.105.1","MAVLink 2.0","92","TIMESYNC"
"2139","4.643846232","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=189 Ack=101485 Win=9615 Len=0 TSval=2474327641 TSecr=519151167"
"2140","4.643848812","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ALTITUDE"
"2141","4.643854849","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
"2142","4.643860614","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"2143","4.643883968","10.76.105.1","10.244.105.1","MAVLink 2.0","127","BATTERY_STATUS"
"2144","4.643888270","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=189 Ack=101712 Win=9614 Len=0 TSval=2474327642 TSecr=519151171"
"2145","4.643890678","10.76.105.1","10.244.105.1","MAVLink 2.0","119","ESTIMATOR_STATUS"
"2146","4.643902649","10.76.105.1","10.244.105.1","MAVLink 2.0","80","EXTENDED_SYS_STATE"
"2147","4.643908894","10.76.105.1","10.244.105.1","MAVLink 2.0","139","HIGHRES_IMU"
"2148","4.643914707","10.76.105.1","10.244.105.1","MAVLink 2.0","88","PING"
"2149","4.643920269","10.76.105.1","10.244.105.1","MAVLink 2.0","109","SYS_STATUS"
"2150","4.643925949","10.76.105.1","10.244.105.1","MAVLink 2.0","89","SYSTEM_TIME"
"2151","4.643931517","10.76.105.1","10.244.105.1","MAVLink 2.0","98","VIBRATION"
"2152","4.643937353","10.76.105.1","10.244.105.1","MAVLink 2.0","100","LINK_NODE_STATUS"
"2153","4.644006594","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=189 Ack=102067 Win=9617 Len=0 TSval=2474327642 TSecr=519151178"
"2154","4.644105793","10.244.105.1","10.76.105.1","MAVLink 2.0","92","PING"
"2155","4.652247089","10.76.105.1","10.244.105.1","MAVLink 2.0","99","SERVO_OUTPUT_RAW"
"2156","4.652271413","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
"2157","4.652277055","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"2158","4.652281735","10.76.105.1","10.244.105.1","MAVLink 2.0","140","HIGHRES_IMU"
"2159","4.652285999","10.76.105.1","10.244.105.1","MAVLink 2.0","90","SERVO_OUTPUT_RAW"
"2160","4.652418534","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=215 Ack=102282 Win=9617 Len=0 TSval=2474327650 TSecr=519151185"
"2161","4.661370761","10.76.105.1","10.244.105.1","MAVLink 2.0","95","VFR_HUD"
"2162","4.661396624","10.76.105.1","10.244.105.1","MAVLink 2.0","310","ODOMETRY"
